index	cnt	name	val	img	class	
0	319	name_1	0.10, 0.37, 0.36, 1.36, 0.84	img/img_0.png	0	
1	185	name_0	0.10, 0.21, 0.49, 0.50, 0.75	img/img_0.png	0	
2	415	name_1	0.25, 0.14, 0.30, 0.69, 0.81	img/img_0.png	0	
3	532	name_2	4.11, 4.12, 4.14, 4.20, 4.20	img/img_1.png	1	
4	482	name_0	4.05, 4.06, 4.05, 4.12, 4.11	img/img_1.png	1	
5	176	name_2	4.05, 4.50, 4.12, 4.05, 4.50	img/img_1.png	1	
6	817	name_0	4.07, 4.25, 4.50, 4.06, 4.50	img/img_1.png	1	
7	251	name_1	0.20, 0.24, 0.26, 0.47, 0.89	img/img_0.png	0	
8	709	name_2	4.07, 4.07, 4.33, 4.12, 4.20	img/img_1.png	1	
9	853	name_2	0.11, 0.17, 0.26, 0.61, 0.75	img/img_0.png	0	
10	204	name_0	0.50, 0.54, 0.30, 0.53, 0.74	img/img_0.png	0	
11	668	name_2	1.00, 0.37, 0.27, 0.61, 0.75	img/img_0.png	0	
12	139	name_2	0.11, 0.17, 0.33, 0.86, 0.89	img/img_0.png	0	
13	560	name_2	0.14, 0.21, 0.36, 0.53, 0.74	img/img_0.png	0	
14	578	name_1	4.07, 5.00, 4.06, 4.05, 4.06	img/img_1.png	1	
15	489	name_0	0.20, 0.29, 0.41, 0.61, 0.78	img/img_0.png	0	
16	290	name_0	4.10, 4.20, 4.14, 4.25, 4.25	img/img_1.png	1	
17	193	name_2	0.20, 0.14, 0.36, 1.36, 0.89	img/img_0.png	0	
18	114	name_1	4.12, 4.14, 4.12, 4.14, 4.05	img/img_1.png	1	
19	575	name_0	4.06, 4.11, 4.08, 4.06, 4.25	img/img_1.png	1	
20	447	name_2	0.10, 0.14, 0.41, 0.69, 0.89	img/img_0.png	0	
21	166	name_1	0.10, 0.29, 0.49, 0.50, 0.74	img/img_0.png	0	
22	888	name_0	4.05, 5.00, 4.17, 4.08, 4.50	img/img_1.png	1	
23	333	name_1	0.10, 0.15, 0.36, 0.86, 1.64	img/img_0.png	0	
24	851	name_2	0.20, 0.54, 0.33, 1.36, 0.74	img/img_0.png	0	
25	820	name_1	4.05, 4.11, 4.07, 4.06, 4.33	img/img_1.png	1	
26	497	name_0	4.06, 4.17, 4.07, 4.17, 5.00	img/img_1.png	1	
27	460	name_1	0.50, 0.24, 0.49, 0.46, 1.14	img/img_0.png	0	
