4.06	4.10	4.05	4.33	4.07	
4.14	4.06	4.25	4.33	4.50	
0.10	1.04	0.27	0.48	1.14	
4.05	4.14	4.06	4.06	4.25	
0.50	0.54	1.16	0.61	0.84	
4.06	4.08	4.08	4.08	4.25	
4.10	4.25	4.20	4.50	4.05	
0.10	0.21	0.41	0.61	0.84	
0.33	0.54	0.66	0.53	0.81	
4.14	4.11	4.07	4.05	4.06	
0.10	0.15	1.16	1.36	0.89	
0.10	0.17	0.41	0.69	0.74	
4.07	4.20	4.10	4.07	4.10	
4.25	4.12	4.10	4.25	4.06	
4.20	4.33	4.06	4.08	4.05	
0.17	0.24	1.16	0.46	1.64	
0.33	0.14	0.29	0.50	0.78	
0.10	0.21	0.66	0.86	0.89	
0.12	1.04	0.33	0.69	0.89	
0.12	0.18	1.16	0.47	0.81	
0.20	0.15	0.27	0.50	0.75	
0.33	0.21	0.33	0.61	0.74	
4.11	4.08	4.10	4.05	4.33	
4.08	4.33	4.11	4.07	4.25	
4.09	4.10	4.25	4.05	4.25	
4.11	4.05	4.33	4.06	4.06	
4.50	4.17	4.07	4.05	4.06	
0.50	0.17	0.66	0.46	1.64	
0.17	0.14	1.16	0.53	0.78	
4.20	4.06	4.12	4.08	4.06	
0.14	0.21	0.30	0.61	0.77	
0.20	0.15	0.36	0.69	0.84	
4.11	4.17	4.50	4.06	4.20	
4.50	4.12	4.20	4.07	4.07	
0.12	0.24	0.33	0.61	0.78	
0.10	1.04	0.30	0.61	0.75	
4.06	4.07	4.07	4.05	4.08	
0.33	0.54	0.36	0.61	0.97	
0.50	0.15	0.41	0.86	0.77	
4.05	4.06	4.20	4.20	4.33	
4.25	4.07	4.33	4.17	4.06	
0.11	0.15	0.41	0.56	0.81	
0.33	0.15	0.49	0.56	0.81	
0.20	1.04	0.27	0.48	0.78	
4.07	4.25	4.06	4.09	4.06	
4.17	4.06	4.25	4.14	4.50	
4.08	4.07	4.12	4.50	4.20	
0.33	0.21	0.27	0.56	0.89	
4.33	4.17	4.07	4.08	4.09	
0.17	0.37	0.30	1.36	0.89	
0.50	1.04	0.27	0.69	1.14	
4.07	4.50	4.14	4.07	4.17	
4.05	4.05	4.06	4.14	4.09	
0.17	0.37	0.41	0.69	0.97	
4.08	4.11	4.20	4.11	4.09	
4.07	4.17	4.10	4.50	4.08	
0.33	0.29	1.16	0.47	0.74	
4.50	4.50	4.07	4.17	4.20	
5.00	4.06	4.05	4.10	4.07	
1.00	1.04	0.41	0.46	0.81	
4.11	4.07	4.06	5.00	4.14	
0.25	0.54	0.66	0.53	1.64	
4.09	5.00	4.14	4.09	4.25	
4.12	4.06	4.14	4.10	4.05	
0.50	1.04	0.29	0.61	0.84	
4.17	4.06	4.25	4.20	4.06	
0.50	0.17	0.29	0.69	0.77	
0.33	0.24	0.29	0.50	0.81	
0.11	0.17	0.30	0.46	0.97	
4.10	4.11	4.08	4.06	4.33	
0.17	0.17	0.36	0.50	0.97	
0.17	0.24	0.49	0.61	0.75	
0.20	0.24	0.41	0.53	0.78	
0.17	0.29	0.36	0.48	0.97	
0.20	0.54	0.66	0.56	1.64	
0.10	0.37	1.16	0.53	0.77	
0.33	0.17	0.41	0.56	0.84	
0.33	0.54	0.41	0.47	0.75	
0.11	0.54	0.30	0.56	1.14	
4.06	4.20	4.05	4.08	4.50	
0.14	1.04	0.49	0.86	0.77	
1.00	0.17	0.27	0.69	1.14	
0.50	1.04	0.66	0.69	1.14	
4.05	4.09	4.08	4.07	4.07	
4.17	4.06	4.17	4.12	4.05	
4.05	4.50	5.00	4.20	4.06	
4.20	4.06	4.05	4.06	4.08	
0.14	0.17	0.27	0.50	1.14	
0.50	0.15	0.49	0.46	0.75	
1.00	0.24	0.30	0.56	0.97	
4.17	4.08	4.06	4.07	4.10	
0.33	0.17	0.26	0.48	0.84	
0.14	0.15	0.30	0.69	0.78	
5.00	4.06	4.50	4.10	4.10	
4.08	4.17	4.11	4.06	4.20	
4.07	4.50	4.06	4.14	4.05	
0.12	0.15	0.49	0.46	0.78	
0.25	0.15	0.33	0.47	1.64	
0.33	0.29	0.27	0.48	0.75	
4.33	4.11	4.06	4.05	4.09	
