4.08	4.33	4.06	4.33	4.07	
0.33	0.24	1.16	0.61	0.78	
4.33	5.00	4.33	4.08	4.50	
4.11	4.07	4.10	4.20	4.08	
5.00	4.08	4.10	4.11	4.50	
0.14	0.15	0.33	0.50	0.77	
4.10	5.00	4.06	4.08	4.14	
0.33	0.18	0.41	0.86	0.77	
0.12	0.24	0.29	0.50	0.84	
4.05	4.10	4.07	4.25	4.09	
4.33	4.07	4.07	4.33	4.50	
1.00	0.37	0.27	0.56	0.81	
0.20	0.24	0.49	0.56	0.77	
0.25	0.18	1.16	0.48	1.64	
4.50	4.07	4.07	4.08	4.06	
4.08	4.06	4.12	4.07	4.07	
1.00	0.37	0.30	0.56	0.84	
0.33	0.17	0.33	0.47	0.81	
4.20	4.50	4.11	5.00	4.05	
4.07	4.07	4.09	4.05	4.50	
0.14	1.04	0.26	0.53	0.89	
1.00	0.17	1.16	0.50	0.84	
0.20	0.24	0.49	0.69	0.78	
4.50	4.05	4.06	4.06	4.06	
4.20	4.09	5.00	4.05	4.06	
0.11	0.29	0.33	0.56	0.74	
0.11	0.29	0.49	0.47	0.77	
0.20	0.29	0.36	0.53	0.84	
4.08	5.00	4.06	4.07	4.08	
4.12	4.12	4.08	4.09	5.00	
0.11	0.24	0.30	0.69	1.14	
4.11	4.06	5.00	4.08	4.12	
4.05	4.17	4.10	4.09	4.50	
0.20	0.24	0.30	0.86	0.81	
0.11	1.04	0.36	0.86	0.97	
0.12	0.15	0.41	0.69	1.64	
0.25	0.24	0.66	0.69	0.81	
4.06	4.07	5.00	4.50	4.14	
0.20	0.18	0.33	0.86	0.75	
4.14	4.33	4.08	4.06	4.25	
0.10	0.18	0.36	0.86	0.97	
4.05	4.08	4.09	4.09	4.20	
0.10	0.18	1.16	0.46	1.14	
4.10	4.07	4.06	4.11	4.06	
4.10	4.20	4.07	4.25	4.07	
0.50	0.54	0.66	0.56	1.14	
4.17	4.05	4.17	4.07	4.07	
4.11	4.07	4.20	4.11	4.08	
4.11	4.14	4.14	4.08	4.08	
4.25	4.11	4.10	4.06	4.25	
4.07	4.17	4.05	4.20	4.06	
4.17	4.07	4.14	4.25	4.07	
4.09	4.06	4.25	4.06	4.05	
4.07	4.17	4.33	4.14	4.07	
0.14	0.21	0.33	0.48	0.84	
4.08	5.00	4.20	4.08	4.05	
4.09	4.25	4.06	4.06	4.10	
0.17	0.54	1.16	0.53	0.77	
4.06	4.06	4.07	4.08	4.50	
4.10	4.09	4.07	4.12	4.06	
4.05	4.50	4.06	4.07	4.11	
0.11	1.04	0.30	0.50	0.77	
4.05	4.06	4.05	4.07	4.07	
4.12	4.17	4.07	4.10	4.17	
4.17	4.14	4.11	4.10	4.14	
4.17	4.14	4.17	4.07	4.10	
1.00	0.54	0.26	0.56	0.74	
4.25	4.09	4.05	4.06	4.10	
4.10	4.12	4.20	4.07	4.33	
0.10	0.29	0.30	0.56	0.77	
0.25	0.21	0.26	0.53	1.14	
0.20	0.54	0.29	0.86	0.97	
4.06	4.05	4.05	4.12	4.08	
4.08	4.11	4.10	4.08	4.20	
4.06	4.06	4.08	4.11	4.06	
0.20	0.54	0.30	0.53	0.74	
4.06	4.20	4.08	4.06	4.06	
0.25	0.24	0.33	0.86	0.75	
4.05	4.20	4.08	4.08	4.06	
4.07	4.33	4.50	4.05	4.05	
0.20	0.14	0.49	0.50	0.84	
4.10	4.25	4.06	4.10	4.11	
0.11	0.29	1.16	0.50	1.64	
4.17	4.06	4.20	4.11	4.10	
0.20	0.37	0.33	0.53	0.84	
0.14	0.17	1.16	0.47	0.78	
1.00	0.21	0.26	0.53	0.81	
4.10	4.20	4.11	4.06	4.06	
0.11	0.15	1.16	1.36	0.77	
0.25	0.29	0.36	0.46	0.89	
0.12	0.29	0.33	0.86	0.74	
1.00	0.14	0.29	0.56	0.81	
4.50	4.20	4.12	4.06	4.09	
0.25	0.18	0.66	0.86	0.89	
4.17	4.17	4.08	5.00	4.10	
4.08	4.06	4.05	4.08	4.09	
0.17	1.04	0.41	0.61	0.75	
4.06	4.10	4.08	4.33	4.05	
4.06	4.08	4.33	5.00	4.17	
4.20	4.06	4.11	4.07	5.00	
